Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Customer_Tenure,Total_Spend,Family_Size,Total_Campaigns_Accepted,Age
Graduation,Partnered,87195.0,35,1,3,11,5,1,0,1,52,1097,1,0,55
Basic,Partnered,24594.0,94,1,1,0,3,5,0,0,201,29,2,0,35
Graduation,Partnered,49096.0,15,4,4,1,4,7,0,0,278,187,3,0,50
Graduation,Partnered,52413.0,56,4,6,4,12,6,0,0,512,910,3,0,45
Graduation,Single,38557.0,17,2,3,1,3,7,0,0,557,145,2,0,36
Master,Partnered,89058.0,18,1,5,4,4,2,0,0,569,850,1,0,54
Graduation,Partnered,77298.0,46,1,6,6,11,3,0,0,239,969,2,0,35
PhD,Single,68126.0,40,1,7,4,5,9,0,1,596,1820,1,1,23
Master,Partnered,57288.0,27,3,8,1,8,6,0,0,4,608,2,1,51
Graduation,Single,86037.0,95,1,6,7,11,3,0,1,543,730,1,2,23
PhD,Partnered,43974.0,19,5,6,4,6,7,0,0,564,551,2,0,34
Graduation,Single,50785.0,27,2,2,1,3,6,0,0,292,114,3,0,52
Graduation,Partnered,90765.0,25,0,4,6,5,1,0,0,156,1724,1,2,44
2n Cycle,Partnered,36550.0,74,5,9,1,5,9,0,0,495,577,2,0,36
2n Cycle,Partnered,30753.0,85,2,1,1,3,5,0,0,353,81,3,0,47
Graduation,Partnered,21918.0,37,2,2,0,3,6,0,0,227,33,2,0,45
Master,Partnered,56129.0,65,4,6,2,10,4,0,0,374,660,2,0,61
Master,Single,32557.0,13,3,2,1,3,5,0,1,125,80,2,0,47
Master,Partnered,19510.0,63,2,1,0,3,7,0,0,298,30,3,0,29
Graduation,Single,30992.0,83,1,1,0,3,7,0,0,433,43,2,0,38
Graduation,Single,101970.0,69,0,6,8,13,2,0,1,474,1135,1,3,31
2n Cycle,Partnered,71488.0,87,2,3,4,7,1,0,0,496,559,1,0,49
Graduation,Single,79607.0,37,1,3,6,6,1,0,1,434,1923,1,0,30
Master,Partnered,54348.0,51,2,2,0,4,6,0,0,21,90,3,0,61
PhD,Partnered,77376.0,72,4,6,3,10,4,0,0,50,661,3,0,58
Graduation,Partnered,62998.0,10,5,5,4,5,5,0,0,272,463,2,0,62
Master,Single,61331.0,42,5,11,1,6,8,0,0,476,632,3,0,56
Graduation,Partnered,73448.0,10,1,7,2,9,4,0,0,139,725,1,0,45
PhD,Partnered,41551.0,51,5,5,1,5,8,0,0,319,279,3,0,50
PhD,Partnered,62981.0,21,1,4,5,13,3,0,0,469,1482,1,1,47
Basic,Single,9548.0,31,2,1,0,3,8,0,0,690,29,2,0,38
PhD,Partnered,33762.0,61,3,2,2,2,8,0,0,357,106,4,0,55
PhD,Single,35860.0,37,2,1,1,2,5,0,1,41,49,3,1,41
PhD,Single,36921.0,74,2,2,0,3,7,0,0,336,38,3,0,49
Master,Single,92859.0,46,1,5,4,12,2,0,0,618,2077,1,0,22
Master,Partnered,65104.0,4,2,3,5,7,7,0,1,227,1053,2,0,38
Graduation,Partnered,86111.0,73,1,5,7,10,2,0,0,436,1385,1,0,52
PhD,Single,68352.0,47,3,8,5,9,6,0,0,305,871,2,0,40
Graduation,Partnered,41883.0,13,3,4,2,3,7,0,0,467,312,2,0,26
Graduation,Partnered,59809.0,36,3,3,3,6,8,0,0,619,877,3,0,38
Graduation,Partnered,23957.0,47,1,2,0,3,6,0,1,609,68,2,0,39
Graduation,Partnered,38547.0,49,1,1,0,2,8,1,0,305,22,2,0,33
2n Cycle,Partnered,35688.0,94,7,4,1,4,8,0,0,676,211,4,0,41
Master,Partnered,49605.0,65,1,2,1,4,3,0,0,8,127,1,0,48
Master,Partnered,59354.0,59,1,4,4,7,3,0,0,66,459,3,0,61
Graduation,Partnered,65747.0,96,4,8,1,6,6,0,0,114,460,2,1,45
2n Cycle,Partnered,46344.0,28,4,7,1,5,7,0,0,562,429,2,0,42
Graduation,Single,34176.0,12,4,3,0,4,6,0,0,48,89,2,0,26
PhD,Partnered,61010.0,57,2,8,5,11,5,0,0,628,1021,2,0,62
Graduation,Partnered,69372.0,10,1,10,4,6,4,0,1,495,1381,1,2,65
Graduation,Single,49967.0,4,3,6,1,5,7,0,0,356,306,2,0,56
Graduation,Single,60199.0,49,1,0,0,3,4,0,0,290,18,4,0,36
Graduation,Partnered,55375.0,3,1,1,1,6,2,0,0,255,162,2,0,37
Graduation,Single,80317.0,64,1,3,4,10,1,0,0,313,1231,1,0,59
Master,Single,30523.0,0,1,1,0,2,7,0,0,363,13,4,0,56
PhD,Partnered,70356.0,20,2,10,6,9,6,0,0,601,1706,1,0,69
Graduation,Partnered,23228.0,91,4,3,0,4,8,0,0,175,121,2,0,30
PhD,Single,74165.0,9,1,5,4,10,2,0,0,424,1293,1,0,39
PhD,Partnered,157243.0,98,15,0,22,0,0,0,0,120,1608,2,0,41
Graduation,Partnered,43482.0,83,3,2,0,4,6,0,0,228,88,4,0,48
Graduation,Single,62551.0,27,1,6,7,4,3,0,0,223,421,1,1,61
Graduation,Single,52332.0,63,1,3,2,6,4,0,0,305,259,1,1,55
Graduation,Single,66951.0,46,1,3,4,7,1,0,0,239,1117,1,0,26
Graduation,Partnered,26091.0,84,3,2,1,3,5,0,0,124,89,3,0,57
Graduation,Partnered,33456.0,58,2,1,0,3,7,0,0,69,36,3,0,49
Graduation,Partnered,28718.0,78,2,2,0,3,8,0,0,351,57,2,0,32
Graduation,Partnered,50447.0,4,1,3,1,3,6,0,0,69,148,3,0,44
PhD,Partnered,53537.0,17,2,2,1,3,5,0,0,150,93,3,0,55
Graduation,Single,52074.0,77,1,2,2,2,4,0,0,86,119,2,1,47
PhD,Partnered,80427.0,56,1,11,8,8,5,0,0,655,1835,2,0,39
PhD,Partnered,83837.0,79,1,9,10,5,4,0,1,560,1318,1,2,66
PhD,Partnered,38853.0,90,2,2,0,3,7,0,0,37,45,3,0,44
Graduation,Partnered,38285.0,96,1,0,0,3,2,0,0,5,10,4,0,55
2n Cycle,Partnered,78497.0,44,1,5,7,12,2,0,0,210,978,1,1,63
PhD,Partnered,51650.0,81,1,4,1,4,5,0,0,49,191,2,0,38
2n Cycle,Partnered,16248.0,77,3,2,1,3,6,0,0,50,57,2,0,26
Master,Partnered,66835.0,21,1,6,4,13,2,0,0,274,1033,1,0,68
Master,Partnered,30477.0,16,1,1,1,3,6,0,0,158,66,2,0,30
Basic,Partnered,28249.0,80,1,2,0,3,6,0,0,14,43,1,0,53
Graduation,Partnered,25271.0,45,1,1,1,2,9,0,0,571,50,2,0,31
PhD,Single,32303.0,63,2,1,0,4,5,0,0,113,39,2,0,44
Graduation,Partnered,61286.0,34,2,7,1,8,5,0,0,331,608,2,0,48
Graduation,Partnered,74068.0,14,1,4,10,9,2,0,0,467,1581,1,0,38
PhD,Partnered,45759.0,13,2,2,0,3,7,0,0,491,68,3,0,50
Basic,Partnered,24882.0,52,1,1,1,2,6,0,0,658,80,2,1,36
PhD,Partnered,66973.0,98,1,8,7,12,3,0,0,408,1282,1,0,25
2n Cycle,Single,36640.0,99,1,2,1,2,5,1,0,276,65,2,0,114
Graduation,Partnered,38872.0,93,2,3,0,3,8,0,0,395,91,2,0,26
Graduation,Partnered,51148.0,38,4,5,1,6,6,0,0,496,315,3,0,41
Graduation,Partnered,31353.0,24,2,1,1,2,8,0,0,182,31,3,0,37
Master,Partnered,69661.0,80,1,7,3,12,3,0,0,47,834,1,0,34
Graduation,Partnered,80067.0,82,1,4,6,6,2,0,0,283,1600,1,1,60
Graduation,Partnered,86718.0,20,1,5,6,5,2,0,0,528,1270,1,0,60
PhD,Single,46854.0,81,6,5,1,3,8,0,1,90,263,3,1,41
Graduation,Single,69142.0,50,3,8,1,7,5,0,0,0,535,2,1,62
Graduation,Single,75922.0,60,1,4,4,9,1,0,0,202,1295,1,0,46
Graduation,Single,63693.0,63,3,11,6,9,6,0,0,258,1150,2,0,36
PhD,Partnered,102160.0,54,0,7,9,10,4,0,1,604,1240,1,3,37
PhD,Single,40637.0,72,2,1,0,3,7,0,0,347,38,3,0,49
Master,Single,18890.0,5,1,0,1,2,6,0,1,596,35,1,1,30
Graduation,Partnered,29604.0,88,1,1,0,3,9,0,0,203,53,2,1,26
Master,Single,48721.0,50,6,4,2,5,6,0,0,412,293,3,0,51
Graduation,Partnered,44794.0,99,1,2,0,3,6,0,0,21,65,2,0,48
Graduation,Single,64497.0,17,5,11,4,9,8,0,1,657,1804,2,1,60
Graduation,Partnered,46097.0,11,5,3,1,6,4,0,0,455,241,2,0,58
Graduation,Partnered,77972.0,18,1,4,6,9,1,0,0,103,1101,1,0,60
PhD,Partnered,44377.0,70,8,5,1,5,8,0,0,632,264,3,0,46
Master,Partnered,46014.0,21,10,7,1,8,7,0,0,524,541,3,0,40
Graduation,Partnered,70951.0,66,1,3,4,9,1,0,0,421,1198,1,0,29
Graduation,Partnered,41443.0,79,6,8,1,5,8,0,0,89,482,2,0,37
2n Cycle,Single,52195.0,2,1,1,0,2,8,0,0,48,17,4,0,36
Master,Partnered,83790.0,81,1,8,10,6,3,0,0,226,1615,1,2,66
Master,Single,44551.0,24,2,4,1,5,7,0,0,302,285,2,0,60
Graduation,Partnered,69508.0,48,2,11,4,11,6,0,0,592,1135,2,0,34
2n Cycle,Partnered,45204.0,93,1,1,1,4,3,0,0,79,114,2,0,26
Graduation,Partnered,72460.0,56,1,3,5,7,1,0,0,227,1047,1,0,45
PhD,Partnered,77622.0,3,2,6,3,11,3,0,0,76,714,3,0,44
PhD,Partnered,30732.0,44,4,4,1,4,8,0,0,540,185,2,0,34
Graduation,Single,63887.0,38,5,9,6,12,6,0,0,659,1245,2,0,52
Graduation,Partnered,42011.0,46,4,3,1,4,8,0,0,460,189,2,0,36
Graduation,Partnered,51369.0,84,2,8,2,4,8,0,0,612,576,2,0,38
Graduation,Single,51537.0,27,3,2,2,11,8,0,0,567,1103,2,0,62
PhD,Partnered,79930.0,72,1,3,5,8,2,0,0,690,1753,1,0,42
PhD,Partnered,34320.0,66,1,1,0,2,8,0,0,133,17,2,0,28
Graduation,Single,37070.0,30,9,5,1,8,7,0,1,466,433,3,0,48
2n Cycle,Single,81975.0,2,1,6,3,4,7,0,0,540,1588,2,1,52
Graduation,Partnered,38590.0,65,1,1,0,2,8,0,0,410,22,2,0,43
Graduation,Single,15033.0,37,1,1,0,3,3,0,0,74,19,1,0,63
PhD,Partnered,62745.0,89,3,7,8,11,5,0,0,463,1117,2,0,49
2n Cycle,Partnered,22212.0,49,2,2,0,4,6,0,0,202,69,2,0,39
Master,Partnered,23661.0,46,1,1,0,3,7,0,0,207,23,2,0,32
PhD,Single,79761.0,32,1,5,2,11,3,0,0,268,605,2,0,56
Graduation,Single,7500.0,54,4,3,1,3,7,0,0,185,57,2,0,41
2n Cycle,Single,60182.0,23,1,1,0,2,4,0,0,43,22,2,0,121
Graduation,Single,73455.0,98,1,6,5,10,3,0,0,244,2088,1,1,46
Graduation,Partnered,64961.0,97,2,6,4,4,3,0,0,553,1009,2,0,56
Graduation,Single,22804.0,75,1,2,0,2,9,0,0,333,26,2,0,43
Graduation,Partnered,73687.0,8,1,3,9,9,2,0,1,213,1627,1,1,24
Graduation,Partnered,61074.0,37,7,11,5,8,7,0,0,681,1102,2,0,56
PhD,Partnered,31686.0,31,2,1,0,3,6,0,0,24,17,3,0,50
Graduation,Partnered,80134.0,40,2,5,3,6,6,0,1,405,1690,2,3,42
Graduation,Partnered,75027.0,74,2,9,4,6,5,0,0,536,1390,2,0,61
PhD,Partnered,67546.0,90,1,4,10,5,3,0,0,667,2126,1,0,26
Master,Partnered,65176.0,57,4,9,6,6,6,0,0,608,1531,2,0,45
Master,Single,31160.0,59,2,2,0,3,8,0,0,286,64,2,0,39
Graduation,Single,29938.0,52,2,1,0,3,6,0,0,245,26,2,0,29
Graduation,Single,102692.0,5,1,6,9,13,2,0,1,450,1112,1,4,40
2n Cycle,Partnered,26490.0,92,2,3,1,5,6,0,0,645,210,1,0,56
Graduation,Partnered,75702.0,77,5,4,6,11,8,0,0,669,1148,3,0,47
PhD,Single,30899.0,35,2,1,0,3,6,0,0,624,33,2,0,40
PhD,Partnered,63342.0,48,3,8,3,5,6,0,0,621,1101,2,1,53
Graduation,Single,45989.0,97,4,3,2,7,3,0,0,615,322,2,0,50
Graduation,Single,18701.0,95,4,2,0,4,5,0,0,390,44,3,0,50
PhD,Single,40737.0,24,1,1,0,2,8,0,0,203,17,4,0,57
Graduation,Single,15287.0,60,2,1,1,2,7,0,1,627,31,2,1,35
PhD,Single,69674.0,46,3,10,2,10,5,0,0,403,845,3,0,46
Master,Partnered,44159.0,85,4,4,1,6,5,0,0,12,275,2,0,44
PhD,Partnered,37717.0,31,1,1,0,2,9,0,0,583,25,2,0,36
Master,Partnered,43776.0,9,6,5,2,4,8,0,1,511,275,3,0,62
Master,Partnered,38179.0,30,4,3,1,3,7,0,0,472,90,3,0,48
Graduation,Partnered,80124.0,47,1,3,7,8,1,0,0,3,1495,1,1,51
PhD,Partnered,38097.0,70,4,3,2,2,7,0,1,622,184,3,1,44
Graduation,Partnered,72940.0,13,1,3,3,6,1,0,0,375,981,1,0,44
Graduation,Partnered,22070.0,11,2,2,2,2,6,0,0,268,67,2,0,44
Graduation,Single,69267.0,31,2,3,4,5,7,0,1,645,1635,1,0,61
Master,Single,31788.0,15,3,3,0,4,5,1,0,101,60,2,0,31
PhD,Partnered,61905.0,2,2,4,2,4,5,0,0,145,231,2,0,39
Graduation,Partnered,29315.0,55,4,2,0,4,6,0,0,84,48,3,0,54
Graduation,Single,33378.0,38,3,2,0,4,7,0,0,508,99,3,0,51
PhD,Partnered,66313.0,86,2,6,3,12,4,0,0,286,770,2,0,51
Graduation,Single,60714.0,56,2,7,4,10,5,0,1,528,957,1,0,58
Master,Partnered,77882.0,29,1,3,3,5,1,0,0,60,818,1,0,33
PhD,Single,69867.0,30,1,3,5,8,1,0,1,453,925,1,1,28
Master,Single,63841.0,64,1,9,3,9,6,0,0,434,908,2,0,46
Basic,Partnered,24480.0,46,3,3,0,4,7,0,0,503,102,2,0,33
Graduation,Partnered,51369.0,84,2,8,2,4,8,0,0,612,576,2,0,38
Graduation,Partnered,37760.0,20,2,4,1,6,7,0,0,667,317,1,0,68
PhD,Partnered,65640.0,74,1,5,1,8,2,0,0,120,461,2,0,40
Master,Partnered,44319.0,18,2,2,0,3,5,0,0,73,37,3,0,39
Graduation,Partnered,30631.0,75,1,3,1,2,7,0,0,352,70,2,0,40
Graduation,Partnered,75278.0,17,1,6,3,13,3,0,0,516,930,1,0,62
Master,Partnered,50898.0,88,13,6,2,12,5,0,0,537,859,3,0,58
Graduation,Single,79946.0,19,1,5,11,5,3,0,0,48,1478,1,0,48
Master,Single,35416.0,62,3,7,1,5,8,0,0,381,390,1,0,65
2n Cycle,Partnered,32414.0,11,1,1,0,3,7,0,0,360,52,1,1,30
Graduation,Partnered,38361.0,74,3,3,1,3,7,0,0,184,137,2,0,45
Graduation,Partnered,82497.0,32,1,2,7,9,4,0,0,606,1919,1,1,34
Graduation,Partnered,16626.0,76,3,3,0,3,9,0,0,165,68,3,0,43
Graduation,Partnered,29672.0,6,1,0,0,3,6,0,0,474,25,3,0,49
Master,Partnered,55951.0,62,3,3,6,11,8,0,0,675,1374,2,2,62
2n Cycle,Single,35388.0,20,1,1,0,3,7,0,0,479,32,2,0,26
Master,Partnered,42386.0,43,1,3,0,3,8,0,0,532,100,2,0,28
Graduation,Single,68627.0,45,1,2,3,6,1,0,0,533,825,1,0,32
PhD,Single,57912.0,34,5,8,3,12,5,0,0,104,916,2,1,49
Graduation,Single,35246.0,53,4,3,1,3,5,0,0,74,62,3,0,56
2n Cycle,Partnered,58821.0,44,1,9,2,9,6,0,0,260,728,2,0,58
PhD,Partnered,46377.0,89,1,2,1,3,4,0,0,120,90,2,0,36
Graduation,Single,39747.0,43,3,5,1,4,8,0,0,77,273,2,0,26
Graduation,Partnered,23976.0,68,3,3,1,3,7,0,0,184,66,2,0,30
Master,Partnered,80950.0,44,1,6,7,9,2,0,0,458,1213,1,1,53
Graduation,Single,27038.0,64,1,3,0,3,9,0,1,649,107,1,0,48
Graduation,Single,77457.0,85,1,2,5,10,1,0,0,116,1157,1,1,67
Master,Partnered,64100.0,93,1,8,3,6,7,0,0,292,546,2,1,50
Master,Partnered,42670.0,12,1,4,2,4,4,0,0,428,241,1,0,22
Graduation,Single,12571.0,86,4,3,1,3,6,0,0,162,53,2,0,38
Graduation,Partnered,22574.0,28,2,2,0,3,7,0,0,244,37,4,0,47
Master,Single,70893.0,42,1,6,6,10,3,0,0,508,1508,1,0,38
Graduation,Partnered,54198.0,13,6,3,1,6,4,0,0,194,235,3,0,48
Master,Partnered,28839.0,86,2,2,0,3,5,0,0,110,32,3,0,58
Graduation,Partnered,40321.0,59,2,3,0,3,7,0,0,335,102,3,0,42
Graduation,Single,66503.0,30,2,4,3,6,3,0,0,684,401,2,0,29
Graduation,Partnered,30833.0,33,2,1,0,3,5,0,0,348,28,3,0,63
Graduation,Partnered,64795.0,23,3,3,3,12,2,0,0,528,680,2,0,43
Graduation,Partnered,34421.0,81,1,1,0,2,7,0,0,363,30,2,0,40
PhD,Single,47025.0,6,1,1,0,2,7,0,0,140,20,3,0,49
PhD,Single,64325.0,41,5,10,3,5,7,0,0,507,1307,2,0,53
Graduation,Single,40464.0,78,6,8,2,8,8,0,0,534,630,2,0,61
Graduation,Partnered,62187.0,49,1,4,8,5,3,0,0,359,1283,1,0,57
PhD,Single,14849.0,39,3,2,0,4,8,0,0,362,65,2,0,38
Graduation,Partnered,27255.0,3,1,1,0,3,7,0,0,234,37,2,0,30
PhD,Partnered,54432.0,37,1,1,0,3,4,0,0,416,38,4,0,64
PhD,Single,29999.0,22,4,3,1,4,8,0,0,501,160,2,0,28
Graduation,Single,24072.0,79,1,1,0,2,8,0,0,439,23,2,0,31
PhD,Single,33996.0,46,1,1,1,3,4,0,0,291,71,1,0,25
PhD,Partnered,66334.0,82,2,9,3,5,5,0,1,452,1161,2,0,58
Master,Partnered,35178.0,10,1,1,1,2,7,0,1,535,59,2,1,43
Graduation,Partnered,22010.0,51,2,2,0,3,8,0,0,364,33,2,0,31
Graduation,Single,62204.0,38,1,4,5,12,3,0,0,655,946,3,0,54
Graduation,Single,75693.0,10,1,11,4,6,4,0,1,570,1442,1,3,46
Graduation,Partnered,30675.0,14,1,1,0,3,8,0,0,594,62,2,0,42
Graduation,Partnered,83003.0,18,1,7,6,8,3,0,1,483,1674,1,1,49
PhD,Partnered,83532.0,36,1,4,6,4,1,0,0,276,1853,1,1,115
Graduation,Single,68655.0,95,1,4,5,11,3,0,0,688,1538,1,0,26
Graduation,Single,41411.0,11,1,2,1,4,6,0,0,204,139,1,0,28
PhD,Partnered,55212.0,65,3,4,2,11,8,0,0,583,1182,2,2,45
PhD,Partnered,59292.0,71,2,3,5,8,3,0,0,381,507,2,0,64
Basic,Partnered,27190.0,13,1,1,0,2,8,0,1,318,18,2,1,41
Graduation,Single,82623.0,58,1,2,9,4,1,0,0,231,940,1,0,62
Graduation,Partnered,44300.0,65,2,1,0,3,6,0,0,371,42,3,0,49
Graduation,Single,84835.0,0,1,4,4,6,1,0,1,13,1190,1,0,44
Graduation,Single,30372.0,33,3,2,0,3,7,0,0,551,44,3,0,43
Master,Partnered,33181.0,90,1,1,0,2,6,0,0,177,16,2,1,38
Graduation,Partnered,71113.0,95,4,6,7,9,4,0,0,194,835,2,0,57
Graduation,Partnered,71952.0,93,2,8,4,8,4,0,0,535,1443,2,2,28
PhD,Single,69759.0,38,3,4,6,5,3,0,1,244,1029,1,0,48
Graduation,Partnered,72099.0,18,1,3,4,10,1,0,0,610,1188,1,0,40
PhD,Single,60000.0,57,5,11,3,5,6,0,0,554,1277,2,0,38
Graduation,Single,38643.0,45,2,2,0,3,7,1,0,212,49,3,0,36
